metal,termination,vacBarrier,aquBarrier
Ag,111,0.8737127135946139,0.8978640329542031
Al,111,0.35844828033168596,0.4307081935771748
Au,111,0.5121257858791068,0.6349479241034715
Cu,111,0.9687723681286116,0.9285975362117824
Fe,bcc,1.0145240340266355,1.0785438344660179
Co,0001,,1.286042150627054
Ni,111,0.8478302408407217,1.056164245362197
Ir,111,0.23909950437337102,0.44817818177216395
Os,0001,0.638628292188514,0.6098843944037071
Pd,111,,0.8729679120206129
Pt,111,0.5230319111797144,0.6489391979575885
Re,0001,1.0677261597757024,0.9644795618623903
Rh,111,0.34014669760927063,0.5217911282843488
Ru,0001,0.7663884302992301,0.6669083450624385
W,bcc,1.4627881332562538,1.4194930285721057
Zn,0001,0.0,0.615991197774747
